title,singer,image_url,genre
비행기,거북이,https://cdnimg.melon.co.kr/cm/album/images/003/22/845/322845_500.jpg/melon/resize/120/quality/80/optimize,Dance
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance
I Don't Care,2NE1,https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/120/quality/80/optimize,Dance
좋은 날,아이유,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance
붉은 노을,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/004/05/351/405351_500.jpg/melon/resize/120/quality/80/optimize,Dance
너랑 나,아이유,https://cdnimg.melon.co.kr/cm/album/images/020/40/666/2040666_500.jpg/melon/resize/120/quality/80/optimize,Dance
하루 끝,아이유,https://cdnimg.melon.co.kr/cm/album/images/021/21/646/2121646_500.jpg/melon/resize/120/quality/80/optimize,Dance
SHAKE IT,씨스타,https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/120/quality/80/optimize,Dance
스물셋,아이유,https://cdnimg.melon.co.kr/cm/album/images/026/46/282/2646282_500.jpg/melon/resize/120/quality/80/optimize,Dance
8282,다비치,https://cdnimg.melon.co.kr/cm/album/images/005/08/460/508460_500.jpg/melon/resize/120/quality/80/optimize,Dance
T.T.L (Time To Love),티아라,https://cdnimg.melon.co.kr/cm/album/images/007/27/252/727252_500.jpg/melon/resize/120/quality/80/optimize,Dance
Bus 안에서,자자 (ZAZA),https://cdnimg.melon.co.kr/cm/album/images/000/05/457/5457_500.jpg/melon/resize/120/quality/80/optimize,Dance
Touch My Body,씨스타,https://cdnimg.melon.co.kr/cm/album/images/022/68/221/2268221_500.jpg/melon/resize/120/quality/80/optimize,Dance
빙고 (아싸),거북이,https://cdnimg.melon.co.kr/cm/album/images/000/43/466/43466_500.jpg/melon/resize/120/quality/80/optimize,Dance
오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),https://cdnimg.melon.co.kr/cm/album/images/023/30/981/2330981_500.jpg/melon/resize/120/quality/80/optimize,Dance
Loving U (러빙유),씨스타,https://cdnimg.melon.co.kr/cm/album/images/021/31/509/2131509_500.jpg/melon/resize/120/quality/80/optimize,Dance
순정 (純情),코요태,https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_500.jpg/melon/resize/120/quality/80/optimize,Dance
FANTASTIC BABY,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/020/84/128/2084128_500.jpg/melon/resize/120/quality/80/optimize,Dance
Go Away,2NE1,https://cdnimg.melon.co.kr/cm/album/images/010/17/253/1017253_500.jpg/melon/resize/120/quality/80/optimize,Dance
연예인,싸이 (PSY),https://cdnimg.melon.co.kr/cm/album/images/003/22/649/322649_500.jpg/melon/resize/120/quality/80/optimize,Dance
BLUE,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/020/84/128/2084128_500.jpg/melon/resize/120/quality/80/optimize,Dance
아틀란티스 소녀 (Atlantis Princess),보아 (BoA),https://cdnimg.melon.co.kr/cm2/album/images/000/40/234/40234_20210323165407_500.jpg/melon/resize/120/quality/80/optimize,Dance
Roly-Poly,티아라,https://cdnimg.melon.co.kr/cm/album/images/013/17/401/1317401_500.jpg/melon/resize/120/quality/80/optimize,Dance
Heartbreaker,G-DRAGON,https://cdnimg.melon.co.kr/cm/album/images/006/35/352/635352_500.jpg/melon/resize/120/quality/80/optimize,Dance
Candy,H.O.T.,https://cdnimg.melon.co.kr/cm/album/images/000/05/280/5280_500.jpg/melon/resize/120/quality/80/optimize,Dance
View,SHINee (샤이니),https://cdnimg.melon.co.kr/cm/album/images/023/19/050/2319050_500.jpg/melon/resize/120/quality/80/optimize,Dance
으르렁 (Growl),EXO,https://cdnimg.melon.co.kr/cm/album/images/021/95/303/2195303_500.jpg/melon/resize/120/quality/80/optimize,Dance
사랑과 전쟁 (Narr. 하하),다비치,https://cdnimg.melon.co.kr/cm/album/images/003/88/456/388456_500.jpg/melon/resize/120/quality/80/optimize,Dance
Tell me (Sampling From 'Two Of Hearts'),원더걸스,https://cdnimg.melon.co.kr/cm/album/images/003/57/386/357386_500.jpg/melon/resize/120/quality/80/optimize,Dance
잘못된 만남,김건모,https://cdnimg.melon.co.kr/cm/album/images/000/03/707/3707_500.jpg/melon/resize/120/quality/80/optimize,Dance
Abracadabra,브라운아이드걸스,https://cdnimg.melon.co.kr/cm/album/images/006/03/751/603751_500.jpg/melon/resize/120/quality/80/optimize,Dance
파도,유엔,https://cdnimg.melon.co.kr/cm/album/images/000/33/475/33475_500.jpg/melon/resize/120/quality/80/optimize,Dance
Mr. Chu (On Stage),Apink (에이핑크),https://cdnimg.melon.co.kr/cm/album/images/022/46/854/2246854_500.jpg/melon/resize/120/quality/80/optimize,Dance
분홍신,아이유,https://cdnimg.melon.co.kr/cm/album/images/022/08/448/2208448_500.jpg/melon/resize/120/quality/80/optimize,Dance
LOVE ME RIGHT,EXO,https://cdnimg.melon.co.kr/cm/album/images/023/21/827/2321827_500.jpg/melon/resize/120/quality/80/optimize,Dance
STEP,카라,https://cdnimg.melon.co.kr/cm/album/images/020/09/327/2009327_500.jpg/melon/resize/120/quality/80/optimize,Dance
촛불하나,god,https://cdnimg.melon.co.kr/cm/album/images/000/00/717/717_500.jpg/melon/resize/120/quality/80/optimize,Dance
No.1,보아 (BoA),https://cdnimg.melon.co.kr/cm/album/images/000/16/305/16305_500.jpg/melon/resize/120/quality/80/optimize,Dance
보여줄게,에일리(Ailee),https://cdnimg.melon.co.kr/cm/album/images/021/53/251/2153251_500.jpg/melon/resize/120/quality/80/optimize,Dance
OOH-AHH하게,TWICE (트와이스),https://cdnimg.melon.co.kr/cm/album/images/026/45/617/2645617_500.jpg/melon/resize/120/quality/80/optimize,Dance
U-Go-Girl (With 낯선),이효리,https://cdnimg.melon.co.kr/cm/album/images/003/89/651/389651_500.jpg/melon/resize/120/quality/80/optimize,Dance
실연,코요태,https://cdnimg.melon.co.kr/cm/album/images/000/04/937/4937_500.jpg/melon/resize/120/quality/80/optimize,Dance
So Hot,원더걸스,https://cdnimg.melon.co.kr/cm/album/images/003/81/932/381932_500.jpg/melon/resize/120/quality/80/optimize,Dance
그녀와의 이별,김현정,https://cdnimg.melon.co.kr/cm/album/images/000/03/014/3014_500.jpg/melon/resize/120/quality/80/optimize,Dance
Diva,애프터스쿨,https://cdnimg.melon.co.kr/cm/album/images/005/37/052/537052_500.jpg/melon/resize/120/quality/80/optimize,Dance
심쿵해 (Heart Attack),AOA,https://cdnimg.melon.co.kr/cm/album/images/023/25/321/2325321_500.jpg/melon/resize/120/quality/80/optimize,Dance
3!4!,룰라,https://cdnimg.melon.co.kr/cm/album/images/000/05/349/5349_500.jpg/melon/resize/120/quality/80/optimize,Dance
UGLY,2NE1,https://cdnimg.melon.co.kr/cm/album/images/013/56/152/1356152_500.jpg/melon/resize/120/quality/80/optimize,Dance
Lion Heart,소녀시대 (GIRLS' GENERATION),https://cdnimg.melon.co.kr/cm/album/images/023/35/204/2335204_500.jpg/melon/resize/120/quality/80/optimize,Dance
Poison,엄정화,https://cdnimg.melon.co.kr/cm/album/images/000/04/311/4311_500.jpg/melon/resize/120/quality/80/optimize,Dance
비행기,거북이,https://cdnimg.melon.co.kr/cm/album/images/003/22/845/322845_500.jpg/melon/resize/120/quality/80/optimize,Dance
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance
I Don't Care,2NE1,https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/120/quality/80/optimize,Dance
좋은 날,아이유,https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance
붉은 노을,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/004/05/351/405351_500.jpg/melon/resize/120/quality/80/optimize,Dance
너랑 나,아이유,https://cdnimg.melon.co.kr/cm/album/images/020/40/666/2040666_500.jpg/melon/resize/120/quality/80/optimize,Dance
하루 끝,아이유,https://cdnimg.melon.co.kr/cm/album/images/021/21/646/2121646_500.jpg/melon/resize/120/quality/80/optimize,Dance
SHAKE IT,씨스타,https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/120/quality/80/optimize,Dance
스물셋,아이유,https://cdnimg.melon.co.kr/cm/album/images/026/46/282/2646282_500.jpg/melon/resize/120/quality/80/optimize,Dance
8282,다비치,https://cdnimg.melon.co.kr/cm/album/images/005/08/460/508460_500.jpg/melon/resize/120/quality/80/optimize,Dance
T.T.L (Time To Love),티아라,https://cdnimg.melon.co.kr/cm/album/images/007/27/252/727252_500.jpg/melon/resize/120/quality/80/optimize,Dance
Bus 안에서,자자 (ZAZA),https://cdnimg.melon.co.kr/cm/album/images/000/05/457/5457_500.jpg/melon/resize/120/quality/80/optimize,Dance
Touch My Body,씨스타,https://cdnimg.melon.co.kr/cm/album/images/022/68/221/2268221_500.jpg/melon/resize/120/quality/80/optimize,Dance
빙고 (아싸),거북이,https://cdnimg.melon.co.kr/cm/album/images/000/43/466/43466_500.jpg/melon/resize/120/quality/80/optimize,Dance
오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),https://cdnimg.melon.co.kr/cm/album/images/023/30/981/2330981_500.jpg/melon/resize/120/quality/80/optimize,Dance
Loving U (러빙유),씨스타,https://cdnimg.melon.co.kr/cm/album/images/021/31/509/2131509_500.jpg/melon/resize/120/quality/80/optimize,Dance
순정 (純情),코요태,https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_500.jpg/melon/resize/120/quality/80/optimize,Dance
FANTASTIC BABY,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/020/84/128/2084128_500.jpg/melon/resize/120/quality/80/optimize,Dance
Go Away,2NE1,https://cdnimg.melon.co.kr/cm/album/images/010/17/253/1017253_500.jpg/melon/resize/120/quality/80/optimize,Dance
연예인,싸이 (PSY),https://cdnimg.melon.co.kr/cm/album/images/003/22/649/322649_500.jpg/melon/resize/120/quality/80/optimize,Dance
BLUE,BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm/album/images/020/84/128/2084128_500.jpg/melon/resize/120/quality/80/optimize,Dance
아틀란티스 소녀 (Atlantis Princess),보아 (BoA),https://cdnimg.melon.co.kr/cm2/album/images/000/40/234/40234_20210323165407_500.jpg/melon/resize/120/quality/80/optimize,Dance
Roly-Poly,티아라,https://cdnimg.melon.co.kr/cm/album/images/013/17/401/1317401_500.jpg/melon/resize/120/quality/80/optimize,Dance
Heartbreaker,G-DRAGON,https://cdnimg.melon.co.kr/cm/album/images/006/35/352/635352_500.jpg/melon/resize/120/quality/80/optimize,Dance
Candy,H.O.T.,https://cdnimg.melon.co.kr/cm/album/images/000/05/280/5280_500.jpg/melon/resize/120/quality/80/optimize,Dance
View,SHINee (샤이니),https://cdnimg.melon.co.kr/cm/album/images/023/19/050/2319050_500.jpg/melon/resize/120/quality/80/optimize,Dance
으르렁 (Growl),EXO,https://cdnimg.melon.co.kr/cm/album/images/021/95/303/2195303_500.jpg/melon/resize/120/quality/80/optimize,Dance
사랑과 전쟁 (Narr. 하하),다비치,https://cdnimg.melon.co.kr/cm/album/images/003/88/456/388456_500.jpg/melon/resize/120/quality/80/optimize,Dance
Tell me (Sampling From 'Two Of Hearts'),원더걸스,https://cdnimg.melon.co.kr/cm/album/images/003/57/386/357386_500.jpg/melon/resize/120/quality/80/optimize,Dance
잘못된 만남,김건모,https://cdnimg.melon.co.kr/cm/album/images/000/03/707/3707_500.jpg/melon/resize/120/quality/80/optimize,Dance
Abracadabra,브라운아이드걸스,https://cdnimg.melon.co.kr/cm/album/images/006/03/751/603751_500.jpg/melon/resize/120/quality/80/optimize,Dance
파도,유엔,https://cdnimg.melon.co.kr/cm/album/images/000/33/475/33475_500.jpg/melon/resize/120/quality/80/optimize,Dance
Mr. Chu (On Stage),Apink (에이핑크),https://cdnimg.melon.co.kr/cm/album/images/022/46/854/2246854_500.jpg/melon/resize/120/quality/80/optimize,Dance
분홍신,아이유,https://cdnimg.melon.co.kr/cm/album/images/022/08/448/2208448_500.jpg/melon/resize/120/quality/80/optimize,Dance
LOVE ME RIGHT,EXO,https://cdnimg.melon.co.kr/cm/album/images/023/21/827/2321827_500.jpg/melon/resize/120/quality/80/optimize,Dance
STEP,카라,https://cdnimg.melon.co.kr/cm/album/images/020/09/327/2009327_500.jpg/melon/resize/120/quality/80/optimize,Dance
촛불하나,god,https://cdnimg.melon.co.kr/cm/album/images/000/00/717/717_500.jpg/melon/resize/120/quality/80/optimize,Dance
No.1,보아 (BoA),https://cdnimg.melon.co.kr/cm/album/images/000/16/305/16305_500.jpg/melon/resize/120/quality/80/optimize,Dance
보여줄게,에일리(Ailee),https://cdnimg.melon.co.kr/cm/album/images/021/53/251/2153251_500.jpg/melon/resize/120/quality/80/optimize,Dance
OOH-AHH하게,TWICE (트와이스),https://cdnimg.melon.co.kr/cm/album/images/026/45/617/2645617_500.jpg/melon/resize/120/quality/80/optimize,Dance
U-Go-Girl (With 낯선),이효리,https://cdnimg.melon.co.kr/cm/album/images/003/89/651/389651_500.jpg/melon/resize/120/quality/80/optimize,Dance
실연,코요태,https://cdnimg.melon.co.kr/cm/album/images/000/04/937/4937_500.jpg/melon/resize/120/quality/80/optimize,Dance
So Hot,원더걸스,https://cdnimg.melon.co.kr/cm/album/images/003/81/932/381932_500.jpg/melon/resize/120/quality/80/optimize,Dance
그녀와의 이별,김현정,https://cdnimg.melon.co.kr/cm/album/images/000/03/014/3014_500.jpg/melon/resize/120/quality/80/optimize,Dance
Diva,애프터스쿨,https://cdnimg.melon.co.kr/cm/album/images/005/37/052/537052_500.jpg/melon/resize/120/quality/80/optimize,Dance
심쿵해 (Heart Attack),AOA,https://cdnimg.melon.co.kr/cm/album/images/023/25/321/2325321_500.jpg/melon/resize/120/quality/80/optimize,Dance
3!4!,룰라,https://cdnimg.melon.co.kr/cm/album/images/000/05/349/5349_500.jpg/melon/resize/120/quality/80/optimize,Dance
UGLY,2NE1,https://cdnimg.melon.co.kr/cm/album/images/013/56/152/1356152_500.jpg/melon/resize/120/quality/80/optimize,Dance
Lion Heart,소녀시대 (GIRLS' GENERATION),https://cdnimg.melon.co.kr/cm/album/images/023/35/204/2335204_500.jpg/melon/resize/120/quality/80/optimize,Dance
Poison,엄정화,https://cdnimg.melon.co.kr/cm/album/images/000/04/311/4311_500.jpg/melon/resize/120/quality/80/optimize,Dance
"스물다섯, 스물하나",자우림,https://cdnimg.melon.co.kr/cm/album/images/022/10/557/2210557_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑했나봐,윤도현,https://cdnimg.melon.co.kr/cm/album/images/003/01/886/301886_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
벚꽃 엔딩,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
기억을 걷는 시간,넬 (NELL),https://cdnimg.melon.co.kr/cm/album/images/003/74/383/374383_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
남자를 몰라,버즈,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
안아줘,정준일,https://cdnimg.melon.co.kr/cm/album/images/020/38/488/2038488_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑의 바보,더 넛츠 (The NuTs),https://cdnimg.melon.co.kr/cm/album/images/000/35/269/35269_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
Monologue,버즈,https://cdnimg.melon.co.kr/cm2/album/images/000/32/889/32889_20220615123143_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
겁쟁이,버즈,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
Never Ending Story,부활,https://cdnimg.melon.co.kr/cm/album/images/000/16/672/16672_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
나에게로 떠나는 여행,버즈,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
위잉위잉,혁오 (HYUKOH),https://cdnimg.melon.co.kr/cm/album/images/022/82/505/2282505_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
이미 슬픈 사랑,야다 (Yada),https://cdnimg.melon.co.kr/cm/album/images/000/05/446/5446_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑앓이,FTISLAND (FT아일랜드),https://cdnimg.melon.co.kr/cm/album/images/003/52/436/352436_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
비밀번호 486,윤하 (YOUNHA),https://cdnimg.melon.co.kr/cm/album/images/003/47/264/347264_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
고백,델리스파이스,https://cdnimg.melon.co.kr/cm/album/images/000/29/678/29678_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
겨울을 걷는다,윤딴딴,https://cdnimg.melon.co.kr/cm/album/images/022/33/048/2233048_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
Endless,플라워,https://cdnimg.melon.co.kr/cm/album/images/000/00/781/781_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
여수 밤바다,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
그래서 그대는,얀,https://cdnimg.melon.co.kr/cm/album/images/000/16/605/16605_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
고백,뜨거운 감자,https://cdnimg.melon.co.kr/cm/album/images/008/42/655/842655_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
꽃송이가,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
발걸음,에메랄드 캐슬,https://cdnimg.melon.co.kr/cm/album/images/000/05/242/5242_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
My Love (And),버즈,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
처음엔 사랑이란게,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/022/02/410/2202410_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
흰수염고래,YB (윤도현 밴드),https://cdnimg.melon.co.kr/cm/album/images/020/37/979/2037979_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
낭만고양이,체리필터 (cherryfilter),https://cdnimg.melon.co.kr/cm/album/images/000/16/600/16600_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
바래,FTISLAND (FT아일랜드),https://cdnimg.melon.co.kr/cm/album/images/006/05/252/605252_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
질풍가도 ('쾌걸 근육맨 2세' 1기 여는노래),유정석,https://cdnimg.melon.co.kr/cm/album/images/003/16/819/316819_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
금지된 사랑,김경호,https://cdnimg.melon.co.kr/cm/album/images/000/03/022/3022_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
고백,정준일,https://cdnimg.melon.co.kr/cm/album/images/022/26/707/2226707_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
영원,스카이,https://cdnimg.melon.co.kr/cm2/album/images/000/07/874/7874_20250312180002_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑 Two,윤도현,https://cdnimg.melon.co.kr/cm/album/images/000/04/360/4360_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
너를 보내고,YB (윤도현 밴드),https://cdnimg.melon.co.kr/cm/album/images/000/04/372/4372_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
은인,버즈,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
정말로 사랑한다면,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/021/28/229/2128229_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
생각이나,부활,https://cdnimg.melon.co.kr/cm/album/images/006/32/858/632858_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
하늘 끝에서 흘린 눈물,주니퍼,https://cdnimg.melon.co.kr/cm/album/images/000/07/655/7655_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
나는 나비,YB (윤도현 밴드),https://cdnimg.melon.co.kr/cm/album/images/003/24/019/324019_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
첫사랑,버스커 버스커,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
혜성,윤하 (YOUNHA),https://cdnimg.melon.co.kr/cm/album/images/003/59/890/359890_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
사랑하는 법을 몰라서,FTISLAND (FT아일랜드),https://cdnimg.melon.co.kr/cm/album/images/003/52/436/352436_500.jpg/melon/resize/120/quality/80/optimize,Rock/Metal
